idkunden;Nachname;Vorname;Geburtsdatum;Stadt
18337;Weis;Helmuth;1936-03-11;Dernbach
18338;Utens;Ain;1975-10-20;Madona
18339;Laske;Sergeij;1971-11-12;Bautzen
18340;Krentz;Helge;1949-03-28;Zgorzelec
18341;Deeg;Christian;1980-02-02;Schwäbisch Hall
18342;Luz;Igor;1970-02-25;Ludwigsburg
18343;Mauck;Yunus;1984-01-19;Bützow
18344;Jäckle;Babak;1968-06-19;Alpirsbach
18345;Gerbig;Heiko;1956-04-28;Bamberg
18346;Saridzic;Rudolf;1942-03-19;Zagreb
18347;Mayer;Efstratios;1969-10-21;Reutlingen
18348;Körbl;Gerald;1963-12-01;Sobernheim
18349;Heinrichs;Karl Heinz;1962-03-10;Hamburg
18350;Constantinidis;Lukas´;1983-12-08;Nürnberg
18351;Furtner;Roman Otto;1937-02-01;Regensburg
18352;Koch;Enrique;1923-01-26;Erfurt
18353;Jabke;Bodo Günther;1965-11-02;Pliesdorf
18354;Schwierz;Ulrich;1956-05-23;Oppeln
18355;Kienbaum;Heinz Werner;1959-05-31;Bonn
18356;Frost;Hans;1951-03-11;Hüllerse
18357;Ramien;Alexander;1956-08-14;Escaupont
18358;Schmidt;Jakob;1948-10-17;Herrenberg
18359;Bodesinsky;Özcan;1977-02-01;Lauf/Peg
18360;Knöferl;Martin;1968-07-03;Renningen
18361;Petrovic;Hans-Joachim;1943-04-28;Vera de Bidasoa
18362;Steinle-Garay;Karsten;1958-06-23;Asuncion
18363;Jerkovicz;Hayno;1952-12-26;Ludwigsburg
18364;Engelstädter;Arthur;1981-01-18;Lauchhammer
18365;Stelter;Henk;1978-09-14;Stuttgart- Bad Cannstadt
18366;Bromann;Hubert;1950-05-11;Eckenförde
18367;Langenfeld;Gerhard;1961-05-16;Bonn
18368;Wachsmuth;Manfred;1955-01-25;Leipzig
18369;Paduch;Giuseppe;1979-02-24;Banska Bystrica
18370;Parone;Armin Rudolf;1950-09-19;?
18371;Wentorf;Steffen Karl;1964-12-06;Wuppertal - Elberfeld
18372;50-2-3;Wolfgang;1953-06-16;a
18373;Ali;Viktor;1972-02-11;Pazardzhik
18374;Grammel;Erik;1979-08-11;?
18375;Rathgeb;Ihor;1981-04-27;Laupheim
18376;Schaper;Wilhelm;1936-06-08;Rinteln
18377;Schelhorn;Robert;1959-08-14;Augsburg
18378;Hoster;Andreas;1962-01-31;Mainz
18379;Junk;Martin;1972-02-29;Hedelfingen
18380;Gantze;Mathias;1976-05-18;Aschersleben
18381;Flade;Gerd;1946-01-19;Dresden
18382;Goncalves;Chauhan;1973-11-27;Curros Valpacos
18383;Delnavaz;Jürgen;1952-10-01;Thehran
18384;Galatro;Karl;1937-06-26;Nürnberg
18385;Stäger;Marios;1975-05-29;Würzburg
18386;Palenzuela;Ortwin;1958-08-17;Barakaldo
18387;Pumpler;Anastasios Joh;1978-05-02;Friedrichshafen
18388;Beckmann;Olaf;1965-11-18;Lübeck
18389;Ellinghoven;Akele;1966-04-11;Steinthaleben
18390;Weber;Achim;1959-05-19;Stuttgart
18391;Sebeikat;Peter;1964-02-13;Castrop-Rauxel
18392;Ernhardt;Wolfgang Franz Gerhardt;1955-08-15;Iggingen-Brainkofen
18393;Yilmaz;Olaf;1965-11-18;Stuttgart
18394;Nagel;Enrico;1977-02-10;Schwäb. Hall
18395;Rüsterholz;Hans-Dieter;1958-04-05;Stuttgart
18396;Karayaz;Volkmar Udo;1953-03-14;Adana
18397;Korb;Andreas Peter;1964-02-25;Heilbronn
18398;Elsigk;Jürgen Willi Gustav;1954-12-23;Altdöbern/Calau
18399;Lowas;Said;1978-08-19;Pölöske
18400;Reinke;Horst;1943-11-22;Demmin
18401;Kasparschek;Uwe;1965-05-02;?
18402;Wessels;Karl-Heinz;1965-08-04;Moelln
18403;Krauß;Karagöz;1969-04-10;Stuttgart
18404;Rübsam;Kai-Uwe;1970-05-28;Eberswalde
18405;Hildebrandt;Uwe;1964-01-15;Berlin
18406;Aneiros Castro;Istvan-Attila;1980-11-17;Montevideo / Uruguay
18407;Göhrung;Dennis;1979-06-27;Ravensburg
18408;Sterenberg;Henry;1957-08-07;Hameln
18409;Malik;Markus;1976-01-22;Stgt.-Bad Cannstatt
18410;Wiese;Günter Kurt Ernst;1921-08-06;Meiningen
18411;Koglin;Rolf;1945-06-20;Geesthacht
18412;Strehlau;Andrzej;1969-01-19;München
18413;Shakhnovsky;Uwe Gerhard;1960-03-14;Moskau / Russland
18414;Orgelmacher;Jagir;1956-05-05;Warstein
18415;Geiger;Klaus;1967-05-20;München
18416;Reuter;Paul;1942-09-27;?
18417;Sibinovic;Michael;1978-09-02;Stuttgart
18418;Gross;Reinhard;1954-05-05;Mertinskirch
18419;Dehnert;Thomas;1965-09-12;Remscheid
18420;Scholand;Norbert;1941-09-09;?
18421;Gerber;Werner;1934-05-08;Köthen
18422;Steffen;Uwe;1967-06-09;Kehl
18423;Harrison;Ali Hulki;1970-08-05;Monrovia/Moniserrado
18424;Fedler;Andreas;1968-12-29;Fürstenberg/H
18425;Ünal;Franz Rudolf;1953-12-18;Cukur
18426;Apel;Patrick christian heinz;1983-11-18;Remda
18427;Röhlich;Julien - Francis;1980-05-26;Meistersdorf / CSSR
18428;Varacka;Klaus Jürgen;1943-08-21;Karlsbad
18429;Walter;Stefan Jürgen;1975-12-31;Stuttgart
18430;test9;Wolfgang;1963-07-19;stuttgart
18431;Walter;Andreas;1964-10-16;Ludwigsburg
18432;Kikin;Sergej;1961-12-06;Rimavska Sobota
18433;Pantke;Waldemar;1957-01-02;Blumenau
18434;Hoxha;Marco Antonio;1966-08-11;Tirane
18435;Dorner;Raimund;1953-05-28;Urach
18436;Galosi;Dieter;1938-12-23;Pereked
18437;Stelter;Markus;1977-06-30;Stuttgart
18438;Settembrino;Bernhard Peter;1947-06-12;Matera
18439;Fusca;Rudi Andreas Hans;1958-07-26;Avola
18440;Kalocsai;Igor;1963-12-19;Rimavska Sobota
18441;Tsitsiklis;Manfred;1956-04-21;Stuttgart
18442;Ambrosch;Oliver;1965-06-25;Eching / Freising
18443;Deubel;Günter Erich Alwin Wilhelm;1932-01-14;Bochum
18444;Kühne;Nevzat;1942-04-25;Großrörsdorf
18445;Asif Koka;Thorsten;1959-04-15;Gutranwala
18446;Schindele;Armand Bruno;1969-07-10;Calw
18447;Ziba;Oliver;1967-03-27;Livada
18448;Walther;Olaf;1962-09-12;Dresten
18449;Koppke;Markus;1971-12-13;Lübz
18450;Raßmann;Heiko;1970-01-13;Duisburg
18451;Aluthdeniya;Ziad;1972-04-07;Colombo
18452;Helfrich;Robert Alfons;1962-04-29;Griesbach im Rottall
18453;Döring;Fenix;1963-03-09;Schwäbisch Hall
18454;Mohamad;Karl Dieter;1951-05-04;Beirut / Libanon
18455;Krause;Adolf;1935-02-21;Lawalde
18456;Maruszczyk;Haki;1974-04-20;Cottbus
18457;Prause;Lazaros;1951-09-06;Bockum-Hövel
18458;Petersen;Erkan;1978-12-16;Neumünster
18459;Stelter;Celebi;1953-01-01;Schwedt
18460;Scholl;Ronald;1963-10-09;ESSEN
18461;Herrmann;Benny Leonard Hubert Gerard Jacob;1964-06-10;Frankenberg
18462;Zimmermann;Robert;1968-01-16;Angermünde
18463;Hoffmann;Robert;1963-09-05;Reutlingen
18464;Schwoch;Nikola;1937-12-03;Grünscheid
18465;Hermann;Vlado;1943-10-20;Kulmbach
18466;Walkowiak;Andreas;1971-11-01;Bochum
18467;Veneruso;Thomas;1968-09-28;Napoli
18468;Ivanov;Ervin;1978-03-18;Tiflis
18469;Niemann;Pasquale;1960-11-06;Northeim
18470;Genenger;Uwe Janos;1957-04-05;Geislingen
18471;Bauer;Nelu;1981-10-01;Stuttgart
18472;Boxleitner;Mike;1973-04-16;Stuttgart
18473;Skoczny;Erwin;1949-10-05;Mannheim
18474;Galyar;Jörg;1953-06-01;Kosice
18475;Doch;Karl Heinz;1954-12-14;Maulbronn
18476;Mukolapio-Mupompa;Jürgen Richard;1961-02-02;Kiusljaslja
18477;Donat;Richard Thomas;1963-03-25;Breslau
18478;Hüls;David Michael;1976-05-07;Golzow
18479;Rossano;Fuat;1966-01-01;Potenza
18480;Karbach;Jan;1949-06-16;Heidelberg
18481;Litek;Peter;1962-02-14;?
18482;Trumpp;Alfred;1934-11-26;Stuttgart
18483;Gromik;Arno;1960-11-05;Berlin
18484;Schima;Karsten Ingo;1964-05-10;Essen
18485;de Paulo Silva Mayer;Viktor;1972-02-11;Sao Paulo
18486;Cavallaro;Thomas;1962-09-08;Schorndorf
18487;Nickel;Michael;1960-07-05;Neustadt an der Weinstraße
18488;Gültekin;Georgius;1978-10-27;Tuzluca
18489;Meyer;Gueltekin;1972-04-19;Merzig
18490;Jäckle;Karl;1963-05-13;Sankt Georgen
18491;Amendola;Moritz;1976-07-20;?
18492;Anabtawi;Viktor;1958-08-19;Jerusalem
18493;Hemming;Pietro;1975-07-23;Stuttgart
18494;Kluß;Efendi;1957-01-01;Breslau
18495;Laske;Djoko Nikola;1941-06-08;Bautzen
18496;Kratzmeier;dfsaf;1990-01-01;Speyer
18497;Addin;Bernd;1965-11-30;Bagdad
18498;Balog;Wolfgang Helmut;1948-05-20;Kosice
18499;Seel;Hans Karl;1957-12-01;?
18500;Hiller;Paul Johann Peter;1951-05-06;Bietigheim-Bissingen
18501;Sattler;Sergej;1961-12-06;München
18502;Fleischer;Helmut;1954-12-09;Bad Muskau
18503;Kanka;Gerd;1955-11-28;Prag
18504;Thellmann;Ertan;1972-06-25;Schäßburg
18505;Berlinghof;Milan;1970-03-21;Heilbronn - Sontheim
18506;Wehr;Karl-Heinz;1940-09-26;Sulz am Neckar
18507;Braunschweig;Fayaaz Michael;1988-04-16;Eisenberg/Pfalz
18508;Karakowski;Manfred;1940-11-12;Karlsruhe
18509;Linz;Ömer faruk;1969-12-15;Suhl
18510;Strähnz;Ayhan;1976-04-15;Wurzen
18511;Domes;Gerd;1941-06-25;?
18512;Liefke;Tolga;1973-10-06;Neuheim
18513;Klein;Baptista-Antonio-Israel;1976-08-05;Bietigheim-Bissingen
18514;Göhrung;Jan- Dieter;1973-11-29;Ravensburg
18515;Lange;Ricky Hubert;1982-05-13;Kirchheim Teck
18516;Matrecano;Wolfgang;1949-12-03;Helmstedt
18517;Nöhles;Rudolf Hartmut;1931-03-13;Rathenow
18518;Zerber;Wolfgang;1956-09-03;Gräfenberg
18519;Müller;Heinz Lothar;1947-06-08;Tübingen
18520;Zanella;Peter;1942-11-28;Conegliano
18521;Kienle;Francisco;1965-03-25;Mosbach
18522;Racz;Günther Paul;1968-07-12;Hodejov
18523;Paul;Jürgen;1968-11-01;Saulgau
18524;test200;Wolfgang;1972-07-08;
18525;Kraus;Joao Paulo;1966-12-26;?
18526;Schipler;Claus;1966-03-08;Bozen
18527;Henneberg;Michael;1974-06-25;Wippra
18528;Kanarek;Rudolf;1942-03-19;Thorn
18529;Karg;Karl;1962-07-30;Opfenbach
18530;Nadj;John  Martin  Hermann;1954-05-02;Stuttgart
18531;Decker;Hans-Jürgen;1948-06-16;Dessau
18532;Sofka;Kurt Arnold;1950-02-04;?
18533;Woodson;Martin Bernd;1952-11-28;Stuttgart
18534;Güler;Michel;1974-01-19;Izmir / Türkei
18535;ddd;Markus;1972-08-30;keine
18536;Ozogowski;Roland Wolfgang;1961-06-25;M/M Dzierzoniow
18537;Nickel;Gordon Gerhard;1958-02-18;Gunzenhausen
18538;Eberbach;Thomas Imgo;1963-05-22;Karlsruhe
18539;Gruber;Maik;1967-08-26;Tübingen
18540;Seelig;Martin;1960-04-21;Lotz
18541;Hönig;Ulrich Günther;1951-02-06;St. Johann Mayen
18542;Weik;Milan;1970-03-21;?
18543;Bacher;Thomas;1957-06-13;Stuttgart
18544;Flissikowski;Martin Hubert Heribert;1963-02-08;Reutlingen
18545;Lang;Alexander;1972-12-22;Sinsheim
18546;Bartsch;Charles Arthur Joseph;1956-12-03;Echterdingen
18547;Castillo-Burgeno;Gholam - Hassan;1958-05-10;Madrid
18548;Czarnowski;Mohamad;1979-05-05;Ludwisburg
18549;Schneider;Danilo;1980-10-18;Gera
18550;Dombrowski;Michael;1969-12-03;Kurceschei
18551;Bock;Werner;1954-10-22;Merseburg-Saale
18552;Renaud;Harald;1947-09-28;Stuttgart
18553;Steffl;Armin Peter Paul;1956-06-29;Künzelsau
18554;Felsko;Johannes-And.;1958-11-19;Troisdorf
18555;Raczkowski;Josef;1948-12-02;Bischofsburg
18556;Idler;Carmelo;1967-08-17;Stuttgart
18557;Schuhmacher;Mohamed-Ali;1982-10-18;?
18558;Vidovic;Santana Rodriguez;1978-05-02;Plitska
18559;Hilligardt;Michael;1980-01-31;Hohenstein
18560;Tzimos;Mohamed;1968-01-16;Katerini
18561;Schiedel;Roman;1952-08-13;Stuttgart
18562;Genschmer;Patrick;1984-04-20;Stuttgart
18563;Schöffel;Zottan;1948-01-17;Mannheim
18564;Faber;Ralf;1965-06-22;Mesum
18565;Lutz;Zeliko;1970-02-17;Linz
18566;Peschel;Volker Josef;1945-04-14;Leipzig
18567;Rauscher;Igor;1961-09-08;Waiblingen
18568;Di Bernedetto;Burkhard;1958-02-22;Miscemi
18569;Kolb;Milan;1969-03-03;Böblingen
18570;Posowert;Siegfried;1961-06-05;Stuttgart
18571;Schulze;Ibrahim;1963-01-29;Chemnitz
18572;Stecher;Johannes Dieter;1955-08-09;?
18573;Roeske;Khaled;1962-10-05;Leonberg
18574;Maranic;Jan;1971-08-08;Calw
18575;Gieseke;Lutz Horst;1957-05-19;Rheine
18576;Mattern;Dirk;1969-09-19;Köthen / Sachsen-Anhalt
18577;Baur;Claus-Dieter;1954-03-19;?
18578;Zich;Hubert;1949-11-21;Duschanbe
18579;Hummelbeck;Alfred;1956-11-02;Oldenburg
18580;Ade;Peter;1945-04-20;Ludwigsburg
18581;Kovacic;Frank;1969-12-30;Nürtingen
18582;Istan;Richard;1963-08-08;Kecskemet
18583;Vogt;Dieter;1955-09-24;Witten
18584;Müller;Thomas Heinz Michael;1965-01-17;Karlsruhe
18585;Sorgatz;Caner;1975-08-05;Heilbronn
18586;Ulferts geb. Oelschläger;Jordan-Teodor;1965-09-03;Wernigerode
18587;Heinzel;Eberhard Joachim;1948-07-15;Bad Waldsee KRS. Ravensburg
18588;Vértes;Werner Fritz;1940-10-23;Sellye
18589;Erhardt;Thomas;1969-03-01;Bad LAngensaza
18590;Hetterich;Josef;1954-02-21;Stuttgart
18591;Önsüz;Stefan Wolfgang;1983-04-06;Leonberg
18592;Burigk geb. Kretschmer;Luigi;1963-03-19;Erkner
18593;Schmidtke;Rudolf;1943-08-23;Prospect/Adelaide
18594;Gebhardt;Thomas;1979-07-28;Mannheim
18595;Terzier;Yakup;1983-01-10;?
18596;Jäckel;Uwe;1965-11-17;Sachsenther
18597;Kees;Marco;1979-03-07;Iserlohn
18598;Strohbach;Jens-Olaf;1964-12-16;Dresden
18599;Gräbner;Pasquale Antonio;1962-09-25;Heilbronn
18600;Martinez De La Fuente;Mirko;1971-09-22;Vitoria-Gasteiz
18601;Kiltz;Murat;1970-11-22;Altenhundem
18602;Da Silva Olivera;Thomas;1961-06-15;Mamede De Infesta
18603;Gräßle;Denni-Mario;1953-01-26;?
18604;Maier;Christos;1971-01-28;Ulm-Wiblingen
18605;Tauscher;Bernd Jan;1954-03-14;Geislingen Steige
18606;Pleger;Peter;1954-08-03;Möckmühl/Heilbr.
18607;Kuder;Uwe Jürgen;1960-07-26;Reutlingen
18608;Armiento;Tobias;1978-11-28;Monte St.Angelo
18609;Eleftheriadis;Jürgen;1959-08-30;
18610;Schoppet;Anastasios Joh;1978-05-02;Mainz
18611;Mardale;Rudolf Ewald;1933-09-12;Rumänien
18612;Tycher;Resul;1980-04-02;?
18613;Eckart;Ulrich;1963-03-30;Stuttgart-Bad Cannstatt
18614;Kramer;Josef;1971-08-16;Ofteringen
18615;Glaser;Christoph;1942-03-16;Wien
18616;Kramer;Seyho;1979-08-20;Schublin
18617;Mischler;Helmut;1957-10-15;Bad Urach
18618;Plessas;Jörg;1953-06-01;Stuttgart
18619;Grohs;Klaus Jürgen;1943-08-21;?
18620;Bucher;Jürgen;1952-10-01;Tübingen
18621;Wipprecht;Jörg;1970-04-27;?
18622;Mühlpfordt;Marco;1979-03-07;Cermik
18623;Ermert;Salvatore;1966-05-15;Wiesbaden-Biebrich
18624;Furtner;Jochen Hans;1967-07-24;Regensburg
18625;Günther;Christian;1966-02-05;Neudorf
18626;Kattge;Dashamir;1958-03-10;Erfurt
18627;Leuthold;Riccardo;1970-02-02;Hildburghausen
18628;Krzywdzinski;Klaus Dieter;1961-05-26;Sagan-Sporttau
18629;Venz;Garcia;1973-09-02;Rostock
18630;Beganovic;Peter;1948-09-27;Bijelyina
18631;Väth;Michael;1967-03-09;Frankfurt am Main
18632;Weber;Franz;1949-11-08;Fulda
18633;Loserth;Christian;1949-08-02;Bad Aebling
18634;Kondziella;Rüdiger;1969-03-06;Mannheim
18635;Hegewald;Wolfgang;1968-03-10;Idar-Oberstein
18636;Schwichtenberg;Siegfried;1949-03-13;Sulz am Neckar
18637;Kuder;Kurt;1935-04-18;Reutlingen
18638;Hofmann;Jörg;1953-06-01;Ludwigsburg
18639;Jurkacek;Karl - Heinz;1931-05-21;Zab
18640;Scholz;Branislav;1975-06-23;Habelschwerdt/ Schlesien
18641;Nguyen;Robert;1969-06-02;Ha Tay
18642;Jebsen;Joszef;1965-04-13;Stollberg
18643;Degenhart;Norbert;1958-08-19;Heilbronn
18644;Scherber;Isaac Yaw;1963-02-09;stuttgart
18645;Krieg;Bernhard;1943-06-02;Malsch
18646;Pollex;Joachim;1963-03-27;Pirna
18647;Bildat;Stnislaw;1954-05-06;?
18648;Dahmen;Mike;1980-11-28;?
18649;Cardoso Pereira;Karl;1954-09-08;Lissabon
18650;Milosavljevic;Maxim;1971-01-08;Wien
18651;Kalla;Anton;1929-02-01;Beuthen
18652;Scherer;Wolfgang;1941-05-31;?
18653;Wahrmann;Adnan;1982-11-15;Himmelsthür / Hildesheim
18654;Tüchert;Seyho;1979-08-20;Stuttgart
18655;Iden;Eder;1978-08-26;Lübeck
18656;Gräbner;Mehrdad;1959-01-01;Ansbach
18657;Horn;Erdene;1983-09-04;Roßlau
18658;Gurtner;Friedhelm Egon;1959-01-20;Stuttgart
18659;Kratzmeier;Heinz - Josef;1945-01-12;Speyer
18660;Smelzus;Erwin Hans Walther;1958-01-21;Neustatt
18661;Olenschuk;Björn;1982-01-24;Stuttgart
18662;Paul;Klaus;1956-02-15;?
18663;Nestler;Albert;1936-11-01;Bergen
18664;Das;Hans-Helmut;1952-11-11;Bremerhaven
18665;Gross;Axel;1963-03-03;Mertinskirch
18666;Horvath;El Mahdi;1985-08-20;Kisvarda
18667;Kuzmann;Gennaro;1967-06-18;?
18668;Widmann;Wilhelm;1932-07-04;Ulm
18669;Hauf;Ernst - Martin;1946-11-10;Berlin
18670;Weiche;Michael Walter;1961-04-12;Berlin
18671;Lira;Gürsel;1967-03-03;Birkenweißbuch
18672;Takam;Manfred Peter Werner;1949-11-25;Bandjoun / Kamerun
18673;Tzimos;Jochen;1961-11-05;Katerini
18674;Ammann;Dieter;1947-04-27;Tailfingen
18675;Menzel;Ulrich;1932-04-23;Stuttgart
18676;Schill;Wilhelm;1939-10-14;Kassel
18677;Borgs;Muhammet;1981-03-21;Merkstein
18678;Kautz;Christian;1949-08-02;Akusuat
18679;Mohr;Hans-Jörg;1945-10-07;Kiel
18680;Schwalbe;Ulrich;1948-02-20;Neumünster
18681;Lakhal;Adolf;1935-02-21;Casablanca
18682;Rieger;Paulo J Gomes;1973-06-21;Stuttgart
18683;Müller;Mathias;1970-03-21;Ludwigshafen
18684;Kragujevski;Robert;1959-02-27;Mogilec
18685;Lange;Horst;1969-05-25;Moers KRS Wesel
18686;Strominski;Christian;1949-08-02;Ratibor / Polen
18687;Dietrich;Dieter;1949-05-24;Boizenburg/Elbe
18688;Switon;Detlef;1953-10-04;Kattowitz
18689;Kelm;Victus Chima;1982-01-09;Verl
18690;Önsüz;Rolf Dieter;1940-03-28;Sarbrücken
18691;Vom endt;Thomas;1965-09-12;Leverkusen - Wiesdorf
18692;Deeg;Manfred  Herbert;1939-03-02;Schwäbisch Hall
18693;Czinderi;Heinz Andreas;1968-02-08;Pecs
18694;Huang;Joachim;1958-04-12;Fujiang
18695;Stanojevic;Johann;1965-03-06;Stuttgart
18696;Harmel;Heinz;1930-09-17;Gifhorn
18697;La Rocca;Udo;1951-06-23;Lentini
18698;Wilferth;Volker Bernd;1966-12-12;Naila
18699;Liebe;Hilmar Leopold;1943-09-20;?
18700;Kriger;Norbert;1965-05-31;Budapest
18701;Schulze;Peter;1949-01-30;Saalfeld / Saale
18702;Nuoffer;Uwe;1956-12-11;Reutlingen
18703;Meier;Abbas;1985-03-01;Muckensturm / Heddesheim ? > Heilbronn ?
18704;Ververs;Johann;1944-04-28;Stuttgart
18705;Peters;Otto;1927-08-24;Solingen
18706;Schulz;Torsten;1966-08-11;Cammin / Polen
18707;Kyriakidis;Denis;1959-01-23;Thessaloniki
18708;Dos santo brito;Felix;1937-08-31;Sebastiao da Pedreira
18709;Garisch;Artan;1970-05-31;Breslau
18710;Schramm;Günther;1939-09-03;Ludwigslust
18711;Jasip Salman;Soner Mehmet;1971-03-03;Bagdad
18712;Menter;Andreas;1975-03-11;Neubrandenburg
18713;Breitfeld;Horst;1933-09-29;?
18714;Jäckle;Werner;1953-09-22;Alpirsbach
18715;Brosowski;Ferhat;1985-01-01;Oberhausen
18716;Doleschal;Ulrich;1956-05-23;Göppingen
18717;Zimmermann;Jörg;1957-03-23;Angermünde
18718;Khourshid;Jan;1966-05-03;Kairo
18719;Lenz;Gerald;1963-12-01;Berlin
18720;Boadu;Gerhard;1960-06-20;Kumasi
18721;Marin;Mario;1976-05-24;Buzau
18722;Eleftheriadis;Viktor;1976-09-06;
18723;Kunze;Udo;1966-07-20;Duisburg
18724;Döll;Erich;1961-11-26;?
18725;Korinth;Zeljko;1963-07-12;Brilon
18726;Mohamad;Helmut;1938-04-04;Beirut / Libanon
18727;Lemke;Sani;1975-02-10;St. Petersburg
18728;Vieting;Stefan Elenov;1968-11-06;Potsdam
18729;Nawrot;Stefan;1956-10-03;München
18730;Lichter;Michael;1963-04-26;Trier
18731;Krause;Bernarhard Hermann;1949-01-25;Stuttgart
18732;Wild;Siegmund, Karl;1957-09-12;Fürth
18733;Pavlovic;Hans-Jörg;1945-10-07;Sremska Mitrovica
18734;Danzer;Andrzej Roman;1970-07-09;Ründerroth
18735;Trullu;Joszef;1965-04-13;Carbonia
18736;Samaras;Reinhard;1944-09-02;Kozanis
18737;Mauersberger;Michael;1962-02-05;Hagen
18738;Ruoff;Siegfried Walter;1960-08-15;?
18739;Walther;Arturs;1980-03-20;Dresten
18740;test100;Wolfgang Dieter;1953-02-23;dasf
18741;Lemke;Valentin;1975-09-06;Schipizino
18742;Kreitmayr;Horst Johann;1957-08-31;Nürnberg
18743;Stecher;Gerhard Max;1947-06-20;?
18744;Onder;Erwin;1932-04-21;Vejprty
18745;Seidler;Frank;1955-07-22;Wolterdorf
18746;Schmid;Joachim Josef;1952-10-29;Coburg
18747;Stefanek;Frank Eugen Josef;1959-11-05;?
18748;Werner;Oleg;1963-03-14;?
18749;Soltysik;Abbas;1982-03-01;Berlin
18750;Titz;Silvio;1966-08-21;Sinsheim
18751;Ratke;Manfred;1944-02-12;?
18752;Casas;Comel;1952-11-22;Madrid
18753;Fritsche;Stefan;1967-12-26;München
18754;Karbach;Wilfried;1957-06-26;Heidelberg
18755;Lakehal;Klaus;1961-12-13;Baraki
18756;Eckstein;Udo;1967-11-27;Schramberg
18757;Meyer;Walter;1939-12-12;Merzig
18758;Tahunic;Michael;1956-07-05;Kisljak
18759;Insidro;Jose Aleixa;1963-05-14;Zamora
18760;Sarian;Markus-Winfried;1980-12-15;Isfahan
18761;Kuhn;Nikola;1974-06-17;Stuttgart
